question,instruction,answer
Why does Pip feel ashamed of Joe after visiting Miss Havisham? (context version 3788),Answer the following question based on the context.,"Pip begins to feel ashamed of Joe’s coarse manners and low social status, especially after being exposed to the wealth and refinement of Miss Havisham’s home. (variation 3788)"
What motivates Raskolnikov's idea to commit a crime against Alyona Ivanovna? (context version 12950),Answer the following question based on the context.,"Raskolnikov believes that by killing Alyona Ivanovna, a 'useless' and 'harmful' person, he can free himself and others from her exploitation and use her wealth for good purposes. (variation 12950)"
Why does Jonathan Harker travel to Transylvania? (context version 2226),Answer the following question based on the context.,"Jonathan Harker travels to Transylvania to assist Count Dracula with a real estate transaction in England, acting as his solicitor. (variation 2226)"
Why does Raskolnikov isolate himself from society in the early chapters? (context version 3050),Answer the following question based on the context.,"Raskolnikov isolates himself due to his poverty, pride, and a growing sense of alienation from the world around him. He is tormented by his theories and moral dilemmas, which distance him from others. (variation 3050)"
Why does the creature become violent? (context version 6867),Answer the following question based on the context.,The creature becomes violent after repeated rejection and abuse from humans. His loneliness and Victor's abandonment fuel his desire for revenge. (variation 6867)
What is Elizabeth Bennet’s first impression of Mr. Darcy? (context version 1127),Answer the following question based on the context.,"Elizabeth initially finds Mr. Darcy arrogant and prideful, particularly after he refuses to dance with her and makes dismissive remarks. (variation 1127)"
What is the significance of the letter Raskolnikov receives from his mother? (context version 6394),Answer the following question based on the context.,"The letter reveals the sacrifices his family is making for him and introduces the engagement of his sister, which troubles Raskolnikov deeply and contributes to his inner turmoil. (variation 6394)"
Why does Raskolnikov avoid his landlady? (context version 12374),Answer the following question based on the context.,He avoids his landlady because he is hopelessly in debt to her and dreads her demands for payment and trivial conversations. (variation 12374)
Who is Alyona Ivanovna? (context version 10945),Answer the following question based on the context.,Alyona Ivanovna is a suspicious and miserly old pawnbroker whom Raskolnikov visits under the pretense of pawning items. (variation 10945)
What is the significance of the letter Raskolnikov receives from his mother? (context version 2442),Answer the following question based on the context.,"The letter reveals the sacrifices his family is making for him and introduces the engagement of his sister, which troubles Raskolnikov deeply and contributes to his inner turmoil. (variation 2442)"
Why does the creature become violent? (context version 1323),Answer the following question based on the context.,The creature becomes violent after repeated rejection and abuse from humans. His loneliness and Victor's abandonment fuel his desire for revenge. (variation 1323)
Why does the creature become violent? (context version 1604),Answer the following question based on the context.,The creature becomes violent after repeated rejection and abuse from humans. His loneliness and Victor's abandonment fuel his desire for revenge. (variation 1604)
Why does Pip feel ashamed of Joe after visiting Miss Havisham? (context version 4211),Answer the following question based on the context.,"Pip begins to feel ashamed of Joe’s coarse manners and low social status, especially after being exposed to the wealth and refinement of Miss Havisham’s home. (variation 4211)"
Where does Raskolnikov live at the beginning of the story? (context version 10134),Answer the following question based on the context.,"Raskolnikov lives in a small garret under the roof of a five-storied building, which is described as cramped and almost like a cupboard. (variation 10134)"
What motivates Raskolnikov's idea to commit a crime against Alyona Ivanovna? (context version 11195),Answer the following question based on the context.,"Raskolnikov believes that by killing Alyona Ivanovna, a 'useless' and 'harmful' person, he can free himself and others from her exploitation and use her wealth for good purposes. (variation 11195)"
What is the significance of the letter Raskolnikov receives from his mother? (context version 4066),Answer the following question based on the context.,"The letter reveals the sacrifices his family is making for him and introduces the engagement of his sister, which troubles Raskolnikov deeply and contributes to his inner turmoil. (variation 4066)"
What is Elizabeth Bennet’s first impression of Mr. Darcy? (context version 1295),Answer the following question based on the context.,"Elizabeth initially finds Mr. Darcy arrogant and prideful, particularly after he refuses to dance with her and makes dismissive remarks. (variation 1295)"
What is the significance of the letter Raskolnikov receives from his mother? (context version 5008),Answer the following question based on the context.,"The letter reveals the sacrifices his family is making for him and introduces the engagement of his sister, which troubles Raskolnikov deeply and contributes to his inner turmoil. (variation 5008)"
What motivates Raskolnikov's idea to commit a crime against Alyona Ivanovna? (context version 12153),Answer the following question based on the context.,"Raskolnikov believes that by killing Alyona Ivanovna, a 'useless' and 'harmful' person, he can free himself and others from her exploitation and use her wealth for good purposes. (variation 12153)"
Where does Raskolnikov live at the beginning of the story? (context version 9230),Answer the following question based on the context.,"Raskolnikov lives in a small garret under the roof of a five-storied building, which is described as cramped and almost like a cupboard. (variation 9230)"
How does Mr. Darcy demonstrate his change of character to Elizabeth? (context version 5340),Answer the following question based on the context.,"Mr. Darcy shows his change by helping Lydia Bennet’s family and by treating Elizabeth and her relatives with humility and respect, countering her earlier perception of him. (variation 5340)"
How does Lucy's illness progress after being bitten by Dracula? (context version 4072),Answer the following question based on the context.,"Lucy's health deteriorates rapidly; she suffers from severe anemia, sleepwalking, and lethargy, despite several blood transfusions. Eventually, she dies and becomes a vampire. (variation 4072)"
How does Estella influence Pip's ambitions? (context version 1508),Answer the following question based on the context.,Estella’s beauty and scorn awaken Pip’s desire to become a gentleman. He mistakenly believes that improving his social status will win her affection. (variation 1508)
How does Lucy's illness progress after being bitten by Dracula? (context version 1560),Answer the following question based on the context.,"Lucy's health deteriorates rapidly; she suffers from severe anemia, sleepwalking, and lethargy, despite several blood transfusions. Eventually, she dies and becomes a vampire. (variation 1560)"
What motivates Raskolnikov's idea to commit a crime against Alyona Ivanovna? (context version 12151),Answer the following question based on the context.,"Raskolnikov believes that by killing Alyona Ivanovna, a 'useless' and 'harmful' person, he can free himself and others from her exploitation and use her wealth for good purposes. (variation 12151)"
Who is Alyona Ivanovna? (context version 8031),Answer the following question based on the context.,Alyona Ivanovna is a suspicious and miserly old pawnbroker whom Raskolnikov visits under the pretense of pawning items. (variation 8031)
What internal conflict does Raskolnikov experience as he walks to the old woman's house? (context version 12889),Answer the following question based on the context.,"Raskolnikov struggles with fear and self-loathing, questioning whether he is capable of committing a crime he has been contemplating and feeling disgusted with himself for even considering it. (variation 12889)"
What internal conflict does Raskolnikov experience as he walks to the old woman's house? (context version 10640),Answer the following question based on the context.,"Raskolnikov struggles with fear and self-loathing, questioning whether he is capable of committing a crime he has been contemplating and feeling disgusted with himself for even considering it. (variation 10640)"
What is Raskolnikov’s reaction after leaving Alyona Ivanovna’s apartment? (context version 8405),Answer the following question based on the context.,"After leaving, Raskolnikov feels intense revulsion and self-hatred, questioning his sanity and morality for considering murder. (variation 8405)"
What motivates Victor Frankenstein to create life? (context version 1837),Answer the following question based on the context.,"Victor is driven by a thirst for knowledge and glory. He becomes obsessed with uncovering the secrets of life and overcoming death, believing he can benefit humanity. (variation 1837)"
What is Raskolnikov’s reaction after leaving Alyona Ivanovna’s apartment? (context version 7908),Answer the following question based on the context.,"After leaving, Raskolnikov feels intense revulsion and self-hatred, questioning his sanity and morality for considering murder. (variation 7908)"
How does Mr. Darcy demonstrate his change of character to Elizabeth? (context version 6424),Answer the following question based on the context.,"Mr. Darcy shows his change by helping Lydia Bennet’s family and by treating Elizabeth and her relatives with humility and respect, countering her earlier perception of him. (variation 6424)"
How does Estella influence Pip's ambitions? (context version 1355),Answer the following question based on the context.,Estella’s beauty and scorn awaken Pip’s desire to become a gentleman. He mistakenly believes that improving his social status will win her affection. (variation 1355)
Who is Alyona Ivanovna? (context version 7337),Answer the following question based on the context.,Alyona Ivanovna is a suspicious and miserly old pawnbroker whom Raskolnikov visits under the pretense of pawning items. (variation 7337)
What motivates Victor Frankenstein to create life? (context version 5774),Answer the following question based on the context.,"Victor is driven by a thirst for knowledge and glory. He becomes obsessed with uncovering the secrets of life and overcoming death, believing he can benefit humanity. (variation 5774)"
Why does Raskolnikov avoid his landlady? (context version 11461),Answer the following question based on the context.,He avoids his landlady because he is hopelessly in debt to her and dreads her demands for payment and trivial conversations. (variation 11461)
What motivates Victor Frankenstein to create life? (context version 4845),Answer the following question based on the context.,"Victor is driven by a thirst for knowledge and glory. He becomes obsessed with uncovering the secrets of life and overcoming death, believing he can benefit humanity. (variation 4845)"
How does Estella influence Pip's ambitions? (context version 4724),Answer the following question based on the context.,Estella’s beauty and scorn awaken Pip’s desire to become a gentleman. He mistakenly believes that improving his social status will win her affection. (variation 4724)
What is Raskolnikov’s reaction after leaving Alyona Ivanovna’s apartment? (context version 10748),Answer the following question based on the context.,"After leaving, Raskolnikov feels intense revulsion and self-hatred, questioning his sanity and morality for considering murder. (variation 10748)"
Why does Pip feel ashamed of Joe after visiting Miss Havisham? (context version 4033),Answer the following question based on the context.,"Pip begins to feel ashamed of Joe’s coarse manners and low social status, especially after being exposed to the wealth and refinement of Miss Havisham’s home. (variation 4033)"
What motivates Raskolnikov's idea to commit a crime against Alyona Ivanovna? (context version 12070),Answer the following question based on the context.,"Raskolnikov believes that by killing Alyona Ivanovna, a 'useless' and 'harmful' person, he can free himself and others from her exploitation and use her wealth for good purposes. (variation 12070)"
Who is Alyona Ivanovna? (context version 9281),Answer the following question based on the context.,Alyona Ivanovna is a suspicious and miserly old pawnbroker whom Raskolnikov visits under the pretense of pawning items. (variation 9281)
Why does Pip feel ashamed of Joe after visiting Miss Havisham? (context version 6673),Answer the following question based on the context.,"Pip begins to feel ashamed of Joe’s coarse manners and low social status, especially after being exposed to the wealth and refinement of Miss Havisham’s home. (variation 6673)"
Who is Alyona Ivanovna? (context version 9179),Answer the following question based on the context.,Alyona Ivanovna is a suspicious and miserly old pawnbroker whom Raskolnikov visits under the pretense of pawning items. (variation 9179)
What motivates Raskolnikov's idea to commit a crime against Alyona Ivanovna? (context version 11571),Answer the following question based on the context.,"Raskolnikov believes that by killing Alyona Ivanovna, a 'useless' and 'harmful' person, he can free himself and others from her exploitation and use her wealth for good purposes. (variation 11571)"
Why does Raskolnikov avoid his landlady? (context version 8765),Answer the following question based on the context.,He avoids his landlady because he is hopelessly in debt to her and dreads her demands for payment and trivial conversations. (variation 8765)
Why does Raskolnikov isolate himself from society in the early chapters? (context version 2252),Answer the following question based on the context.,"Raskolnikov isolates himself due to his poverty, pride, and a growing sense of alienation from the world around him. He is tormented by his theories and moral dilemmas, which distance him from others. (variation 2252)"
What is the significance of the letter Raskolnikov receives from his mother? (context version 1026),Answer the following question based on the context.,"The letter reveals the sacrifices his family is making for him and introduces the engagement of his sister, which troubles Raskolnikov deeply and contributes to his inner turmoil. (variation 1026)"
What is Raskolnikov’s reaction after leaving Alyona Ivanovna’s apartment? (context version 10135),Answer the following question based on the context.,"After leaving, Raskolnikov feels intense revulsion and self-hatred, questioning his sanity and morality for considering murder. (variation 10135)"
What motivates Victor Frankenstein to create life? (context version 6462),Answer the following question based on the context.,"Victor is driven by a thirst for knowledge and glory. He becomes obsessed with uncovering the secrets of life and overcoming death, believing he can benefit humanity. (variation 6462)"
Why does the creature become violent? (context version 6128),Answer the following question based on the context.,The creature becomes violent after repeated rejection and abuse from humans. His loneliness and Victor's abandonment fuel his desire for revenge. (variation 6128)
Why does the creature become violent? (context version 5323),Answer the following question based on the context.,The creature becomes violent after repeated rejection and abuse from humans. His loneliness and Victor's abandonment fuel his desire for revenge. (variation 5323)
How does Lucy's illness progress after being bitten by Dracula? (context version 3398),Answer the following question based on the context.,"Lucy's health deteriorates rapidly; she suffers from severe anemia, sleepwalking, and lethargy, despite several blood transfusions. Eventually, she dies and becomes a vampire. (variation 3398)"
Why does Raskolnikov isolate himself from society in the early chapters? (context version 314),Answer the following question based on the context.,"Raskolnikov isolates himself due to his poverty, pride, and a growing sense of alienation from the world around him. He is tormented by his theories and moral dilemmas, which distance him from others. (variation 314)"
What motivates Victor Frankenstein to create life? (context version 637),Answer the following question based on the context.,"Victor is driven by a thirst for knowledge and glory. He becomes obsessed with uncovering the secrets of life and overcoming death, believing he can benefit humanity. (variation 637)"
Why does the creature become violent? (context version 6769),Answer the following question based on the context.,The creature becomes violent after repeated rejection and abuse from humans. His loneliness and Victor's abandonment fuel his desire for revenge. (variation 6769)
Why does Raskolnikov avoid his landlady? (context version 8292),Answer the following question based on the context.,He avoids his landlady because he is hopelessly in debt to her and dreads her demands for payment and trivial conversations. (variation 8292)
Where does Raskolnikov live at the beginning of the story? (context version 10784),Answer the following question based on the context.,"Raskolnikov lives in a small garret under the roof of a five-storied building, which is described as cramped and almost like a cupboard. (variation 10784)"
What is the significance of the letter Raskolnikov receives from his mother? (context version 6001),Answer the following question based on the context.,"The letter reveals the sacrifices his family is making for him and introduces the engagement of his sister, which troubles Raskolnikov deeply and contributes to his inner turmoil. (variation 6001)"
Why does Raskolnikov avoid his landlady? (context version 8748),Answer the following question based on the context.,He avoids his landlady because he is hopelessly in debt to her and dreads her demands for payment and trivial conversations. (variation 8748)
Why does Raskolnikov isolate himself from society in the early chapters? (context version 6175),Answer the following question based on the context.,"Raskolnikov isolates himself due to his poverty, pride, and a growing sense of alienation from the world around him. He is tormented by his theories and moral dilemmas, which distance him from others. (variation 6175)"
What is the significance of the letter Raskolnikov receives from his mother? (context version 2971),Answer the following question based on the context.,"The letter reveals the sacrifices his family is making for him and introduces the engagement of his sister, which troubles Raskolnikov deeply and contributes to his inner turmoil. (variation 2971)"
Why does Pip feel ashamed of Joe after visiting Miss Havisham? (context version 6261),Answer the following question based on the context.,"Pip begins to feel ashamed of Joe’s coarse manners and low social status, especially after being exposed to the wealth and refinement of Miss Havisham’s home. (variation 6261)"
How does Mr. Darcy demonstrate his change of character to Elizabeth? (context version 6858),Answer the following question based on the context.,"Mr. Darcy shows his change by helping Lydia Bennet’s family and by treating Elizabeth and her relatives with humility and respect, countering her earlier perception of him. (variation 6858)"
What is the significance of the letter Raskolnikov receives from his mother? (context version 3886),Answer the following question based on the context.,"The letter reveals the sacrifices his family is making for him and introduces the engagement of his sister, which troubles Raskolnikov deeply and contributes to his inner turmoil. (variation 3886)"
Why does Raskolnikov avoid his landlady? (context version 12492),Answer the following question based on the context.,He avoids his landlady because he is hopelessly in debt to her and dreads her demands for payment and trivial conversations. (variation 12492)
What motivates Raskolnikov's idea to commit a crime against Alyona Ivanovna? (context version 10044),Answer the following question based on the context.,"Raskolnikov believes that by killing Alyona Ivanovna, a 'useless' and 'harmful' person, he can free himself and others from her exploitation and use her wealth for good purposes. (variation 10044)"
How does Mr. Darcy demonstrate his change of character to Elizabeth? (context version 4772),Answer the following question based on the context.,"Mr. Darcy shows his change by helping Lydia Bennet’s family and by treating Elizabeth and her relatives with humility and respect, countering her earlier perception of him. (variation 4772)"
What motivates Victor Frankenstein to create life? (context version 5814),Answer the following question based on the context.,"Victor is driven by a thirst for knowledge and glory. He becomes obsessed with uncovering the secrets of life and overcoming death, believing he can benefit humanity. (variation 5814)"
Where does Raskolnikov live at the beginning of the story? (context version 9312),Answer the following question based on the context.,"Raskolnikov lives in a small garret under the roof of a five-storied building, which is described as cramped and almost like a cupboard. (variation 9312)"
Who is Alyona Ivanovna? (context version 9058),Answer the following question based on the context.,Alyona Ivanovna is a suspicious and miserly old pawnbroker whom Raskolnikov visits under the pretense of pawning items. (variation 9058)
Why does Raskolnikov avoid his landlady? (context version 12986),Answer the following question based on the context.,He avoids his landlady because he is hopelessly in debt to her and dreads her demands for payment and trivial conversations. (variation 12986)
What is Raskolnikov’s reaction after leaving Alyona Ivanovna’s apartment? (context version 9781),Answer the following question based on the context.,"After leaving, Raskolnikov feels intense revulsion and self-hatred, questioning his sanity and morality for considering murder. (variation 9781)"
How does Lucy's illness progress after being bitten by Dracula? (context version 6933),Answer the following question based on the context.,"Lucy's health deteriorates rapidly; she suffers from severe anemia, sleepwalking, and lethargy, despite several blood transfusions. Eventually, she dies and becomes a vampire. (variation 6933)"
Where does Raskolnikov live at the beginning of the story? (context version 10996),Answer the following question based on the context.,"Raskolnikov lives in a small garret under the roof of a five-storied building, which is described as cramped and almost like a cupboard. (variation 10996)"
What is Elizabeth Bennet’s first impression of Mr. Darcy? (context version 1841),Answer the following question based on the context.,"Elizabeth initially finds Mr. Darcy arrogant and prideful, particularly after he refuses to dance with her and makes dismissive remarks. (variation 1841)"
Who is Alyona Ivanovna? (context version 11816),Answer the following question based on the context.,Alyona Ivanovna is a suspicious and miserly old pawnbroker whom Raskolnikov visits under the pretense of pawning items. (variation 11816)
What is Raskolnikov’s reaction after leaving Alyona Ivanovna’s apartment? (context version 8483),Answer the following question based on the context.,"After leaving, Raskolnikov feels intense revulsion and self-hatred, questioning his sanity and morality for considering murder. (variation 8483)"
Why does the creature become violent? (context version 3674),Answer the following question based on the context.,The creature becomes violent after repeated rejection and abuse from humans. His loneliness and Victor's abandonment fuel his desire for revenge. (variation 3674)
Why does Pip feel ashamed of Joe after visiting Miss Havisham? (context version 6108),Answer the following question based on the context.,"Pip begins to feel ashamed of Joe’s coarse manners and low social status, especially after being exposed to the wealth and refinement of Miss Havisham’s home. (variation 6108)"
What motivates Raskolnikov's idea to commit a crime against Alyona Ivanovna? (context version 12816),Answer the following question based on the context.,"Raskolnikov believes that by killing Alyona Ivanovna, a 'useless' and 'harmful' person, he can free himself and others from her exploitation and use her wealth for good purposes. (variation 12816)"
What is the significance of the letter Raskolnikov receives from his mother? (context version 4699),Answer the following question based on the context.,"The letter reveals the sacrifices his family is making for him and introduces the engagement of his sister, which troubles Raskolnikov deeply and contributes to his inner turmoil. (variation 4699)"
Where does Raskolnikov live at the beginning of the story? (context version 12969),Answer the following question based on the context.,"Raskolnikov lives in a small garret under the roof of a five-storied building, which is described as cramped and almost like a cupboard. (variation 12969)"
Why does Raskolnikov isolate himself from society in the early chapters? (context version 3321),Answer the following question based on the context.,"Raskolnikov isolates himself due to his poverty, pride, and a growing sense of alienation from the world around him. He is tormented by his theories and moral dilemmas, which distance him from others. (variation 3321)"
How does Estella influence Pip's ambitions? (context version 5193),Answer the following question based on the context.,Estella’s beauty and scorn awaken Pip’s desire to become a gentleman. He mistakenly believes that improving his social status will win her affection. (variation 5193)
What is the significance of the letter Raskolnikov receives from his mother? (context version 2273),Answer the following question based on the context.,"The letter reveals the sacrifices his family is making for him and introduces the engagement of his sister, which troubles Raskolnikov deeply and contributes to his inner turmoil. (variation 2273)"
What is Raskolnikov’s reaction after leaving Alyona Ivanovna’s apartment? (context version 12208),Answer the following question based on the context.,"After leaving, Raskolnikov feels intense revulsion and self-hatred, questioning his sanity and morality for considering murder. (variation 12208)"
How does Mr. Darcy demonstrate his change of character to Elizabeth? (context version 4255),Answer the following question based on the context.,"Mr. Darcy shows his change by helping Lydia Bennet’s family and by treating Elizabeth and her relatives with humility and respect, countering her earlier perception of him. (variation 4255)"
How does Mr. Darcy demonstrate his change of character to Elizabeth? (context version 4774),Answer the following question based on the context.,"Mr. Darcy shows his change by helping Lydia Bennet’s family and by treating Elizabeth and her relatives with humility and respect, countering her earlier perception of him. (variation 4774)"
What motivates Raskolnikov's idea to commit a crime against Alyona Ivanovna? (context version 8751),Answer the following question based on the context.,"Raskolnikov believes that by killing Alyona Ivanovna, a 'useless' and 'harmful' person, he can free himself and others from her exploitation and use her wealth for good purposes. (variation 8751)"
What motivates Victor Frankenstein to create life? (context version 4710),Answer the following question based on the context.,"Victor is driven by a thirst for knowledge and glory. He becomes obsessed with uncovering the secrets of life and overcoming death, believing he can benefit humanity. (variation 4710)"
Why does Jonathan Harker travel to Transylvania? (context version 848),Answer the following question based on the context.,"Jonathan Harker travels to Transylvania to assist Count Dracula with a real estate transaction in England, acting as his solicitor. (variation 848)"
Where does Raskolnikov live at the beginning of the story? (context version 11806),Answer the following question based on the context.,"Raskolnikov lives in a small garret under the roof of a five-storied building, which is described as cramped and almost like a cupboard. (variation 11806)"
Why does Raskolnikov avoid his landlady? (context version 7071),Answer the following question based on the context.,He avoids his landlady because he is hopelessly in debt to her and dreads her demands for payment and trivial conversations. (variation 7071)
Why does Jonathan Harker travel to Transylvania? (context version 6756),Answer the following question based on the context.,"Jonathan Harker travels to Transylvania to assist Count Dracula with a real estate transaction in England, acting as his solicitor. (variation 6756)"
How does Mr. Darcy demonstrate his change of character to Elizabeth? (context version 6718),Answer the following question based on the context.,"Mr. Darcy shows his change by helping Lydia Bennet’s family and by treating Elizabeth and her relatives with humility and respect, countering her earlier perception of him. (variation 6718)"
Who is Alyona Ivanovna? (context version 11417),Answer the following question based on the context.,Alyona Ivanovna is a suspicious and miserly old pawnbroker whom Raskolnikov visits under the pretense of pawning items. (variation 11417)
What is the significance of the letter Raskolnikov receives from his mother? (context version 4598),Answer the following question based on the context.,"The letter reveals the sacrifices his family is making for him and introduces the engagement of his sister, which troubles Raskolnikov deeply and contributes to his inner turmoil. (variation 4598)"
Why does Raskolnikov isolate himself from society in the early chapters? (context version 1418),Answer the following question based on the context.,"Raskolnikov isolates himself due to his poverty, pride, and a growing sense of alienation from the world around him. He is tormented by his theories and moral dilemmas, which distance him from others. (variation 1418)"
What is Raskolnikov’s reaction after leaving Alyona Ivanovna’s apartment? (context version 11093),Answer the following question based on the context.,"After leaving, Raskolnikov feels intense revulsion and self-hatred, questioning his sanity and morality for considering murder. (variation 11093)"
Why does Pip feel ashamed of Joe after visiting Miss Havisham? (context version 3849),Answer the following question based on the context.,"Pip begins to feel ashamed of Joe’s coarse manners and low social status, especially after being exposed to the wealth and refinement of Miss Havisham’s home. (variation 3849)"
Why does Pip feel ashamed of Joe after visiting Miss Havisham? (context version 605),Answer the following question based on the context.,"Pip begins to feel ashamed of Joe’s coarse manners and low social status, especially after being exposed to the wealth and refinement of Miss Havisham’s home. (variation 605)"
How does Estella influence Pip's ambitions? (context version 6868),Answer the following question based on the context.,Estella’s beauty and scorn awaken Pip’s desire to become a gentleman. He mistakenly believes that improving his social status will win her affection. (variation 6868)
Why does Jonathan Harker travel to Transylvania? (context version 2079),Answer the following question based on the context.,"Jonathan Harker travels to Transylvania to assist Count Dracula with a real estate transaction in England, acting as his solicitor. (variation 2079)"
What motivates Raskolnikov's idea to commit a crime against Alyona Ivanovna? (context version 8421),Answer the following question based on the context.,"Raskolnikov believes that by killing Alyona Ivanovna, a 'useless' and 'harmful' person, he can free himself and others from her exploitation and use her wealth for good purposes. (variation 8421)"
What is Elizabeth Bennet’s first impression of Mr. Darcy? (context version 2312),Answer the following question based on the context.,"Elizabeth initially finds Mr. Darcy arrogant and prideful, particularly after he refuses to dance with her and makes dismissive remarks. (variation 2312)"
What internal conflict does Raskolnikov experience as he walks to the old woman's house? (context version 12247),Answer the following question based on the context.,"Raskolnikov struggles with fear and self-loathing, questioning whether he is capable of committing a crime he has been contemplating and feeling disgusted with himself for even considering it. (variation 12247)"
What is the significance of the letter Raskolnikov receives from his mother? (context version 4344),Answer the following question based on the context.,"The letter reveals the sacrifices his family is making for him and introduces the engagement of his sister, which troubles Raskolnikov deeply and contributes to his inner turmoil. (variation 4344)"
Who is Alyona Ivanovna? (context version 7364),Answer the following question based on the context.,Alyona Ivanovna is a suspicious and miserly old pawnbroker whom Raskolnikov visits under the pretense of pawning items. (variation 7364)
Why does Pip feel ashamed of Joe after visiting Miss Havisham? (context version 1983),Answer the following question based on the context.,"Pip begins to feel ashamed of Joe’s coarse manners and low social status, especially after being exposed to the wealth and refinement of Miss Havisham’s home. (variation 1983)"
How does Estella influence Pip's ambitions? (context version 6691),Answer the following question based on the context.,Estella’s beauty and scorn awaken Pip’s desire to become a gentleman. He mistakenly believes that improving his social status will win her affection. (variation 6691)
Why does Jonathan Harker travel to Transylvania? (context version 4467),Answer the following question based on the context.,"Jonathan Harker travels to Transylvania to assist Count Dracula with a real estate transaction in England, acting as his solicitor. (variation 4467)"
What is Elizabeth Bennet’s first impression of Mr. Darcy? (context version 200),Answer the following question based on the context.,"Elizabeth initially finds Mr. Darcy arrogant and prideful, particularly after he refuses to dance with her and makes dismissive remarks. (variation 200)"
Why does Jonathan Harker travel to Transylvania? (context version 486),Answer the following question based on the context.,"Jonathan Harker travels to Transylvania to assist Count Dracula with a real estate transaction in England, acting as his solicitor. (variation 486)"
What motivates Victor Frankenstein to create life? (context version 3271),Answer the following question based on the context.,"Victor is driven by a thirst for knowledge and glory. He becomes obsessed with uncovering the secrets of life and overcoming death, believing he can benefit humanity. (variation 3271)"
How does Mr. Darcy demonstrate his change of character to Elizabeth? (context version 4725),Answer the following question based on the context.,"Mr. Darcy shows his change by helping Lydia Bennet’s family and by treating Elizabeth and her relatives with humility and respect, countering her earlier perception of him. (variation 4725)"
Why does the creature become violent? (context version 2824),Answer the following question based on the context.,The creature becomes violent after repeated rejection and abuse from humans. His loneliness and Victor's abandonment fuel his desire for revenge. (variation 2824)
Why does Jonathan Harker travel to Transylvania? (context version 4552),Answer the following question based on the context.,"Jonathan Harker travels to Transylvania to assist Count Dracula with a real estate transaction in England, acting as his solicitor. (variation 4552)"
What is the significance of the letter Raskolnikov receives from his mother? (context version 3246),Answer the following question based on the context.,"The letter reveals the sacrifices his family is making for him and introduces the engagement of his sister, which troubles Raskolnikov deeply and contributes to his inner turmoil. (variation 3246)"
How does Lucy's illness progress after being bitten by Dracula? (context version 4454),Answer the following question based on the context.,"Lucy's health deteriorates rapidly; she suffers from severe anemia, sleepwalking, and lethargy, despite several blood transfusions. Eventually, she dies and becomes a vampire. (variation 4454)"
What motivates Raskolnikov's idea to commit a crime against Alyona Ivanovna? (context version 12126),Answer the following question based on the context.,"Raskolnikov believes that by killing Alyona Ivanovna, a 'useless' and 'harmful' person, he can free himself and others from her exploitation and use her wealth for good purposes. (variation 12126)"
Where does Raskolnikov live at the beginning of the story? (context version 8795),Answer the following question based on the context.,"Raskolnikov lives in a small garret under the roof of a five-storied building, which is described as cramped and almost like a cupboard. (variation 8795)"
How does Mr. Darcy demonstrate his change of character to Elizabeth? (context version 3750),Answer the following question based on the context.,"Mr. Darcy shows his change by helping Lydia Bennet’s family and by treating Elizabeth and her relatives with humility and respect, countering her earlier perception of him. (variation 3750)"
Why does Raskolnikov isolate himself from society in the early chapters? (context version 2203),Answer the following question based on the context.,"Raskolnikov isolates himself due to his poverty, pride, and a growing sense of alienation from the world around him. He is tormented by his theories and moral dilemmas, which distance him from others. (variation 2203)"
What is Elizabeth Bennet’s first impression of Mr. Darcy? (context version 6347),Answer the following question based on the context.,"Elizabeth initially finds Mr. Darcy arrogant and prideful, particularly after he refuses to dance with her and makes dismissive remarks. (variation 6347)"
What internal conflict does Raskolnikov experience as he walks to the old woman's house? (context version 10612),Answer the following question based on the context.,"Raskolnikov struggles with fear and self-loathing, questioning whether he is capable of committing a crime he has been contemplating and feeling disgusted with himself for even considering it. (variation 10612)"
How does Mr. Darcy demonstrate his change of character to Elizabeth? (context version 2795),Answer the following question based on the context.,"Mr. Darcy shows his change by helping Lydia Bennet’s family and by treating Elizabeth and her relatives with humility and respect, countering her earlier perception of him. (variation 2795)"
Why does the creature become violent? (context version 5982),Answer the following question based on the context.,The creature becomes violent after repeated rejection and abuse from humans. His loneliness and Victor's abandonment fuel his desire for revenge. (variation 5982)
Where does Raskolnikov live at the beginning of the story? (context version 10632),Answer the following question based on the context.,"Raskolnikov lives in a small garret under the roof of a five-storied building, which is described as cramped and almost like a cupboard. (variation 10632)"
What internal conflict does Raskolnikov experience as he walks to the old woman's house? (context version 10432),Answer the following question based on the context.,"Raskolnikov struggles with fear and self-loathing, questioning whether he is capable of committing a crime he has been contemplating and feeling disgusted with himself for even considering it. (variation 10432)"
Why does Jonathan Harker travel to Transylvania? (context version 525),Answer the following question based on the context.,"Jonathan Harker travels to Transylvania to assist Count Dracula with a real estate transaction in England, acting as his solicitor. (variation 525)"
Why does Raskolnikov avoid his landlady? (context version 9125),Answer the following question based on the context.,He avoids his landlady because he is hopelessly in debt to her and dreads her demands for payment and trivial conversations. (variation 9125)
What motivates Victor Frankenstein to create life? (context version 948),Answer the following question based on the context.,"Victor is driven by a thirst for knowledge and glory. He becomes obsessed with uncovering the secrets of life and overcoming death, believing he can benefit humanity. (variation 948)"
Where does Raskolnikov live at the beginning of the story? (context version 10045),Answer the following question based on the context.,"Raskolnikov lives in a small garret under the roof of a five-storied building, which is described as cramped and almost like a cupboard. (variation 10045)"
